DateTime,price
01-Jan-2012 01:26:24,41.88
01-Jan-2012 02:26:24,38.6
01-Jan-2012 03:26:24,36.55
01-Jan-2012 04:26:24,32.32
01-Jan-2012 05:26:24,30.85
01-Jan-2012 06:26:24,30.14
01-Jan-2012 07:26:24,30.17
01-Jan-2012 08:26:24,30
01-Jan-2012 09:26:24,30.65
01-Jan-2012 10:26:24,30.65
01-Jan-2012 11:26:24,30.27
01-Jan-2012 12:26:24,30.34
01-Jan-2012 13:26:24,30.99
01-Jan-2012 14:26:24,30.04
01-Jan-2012 15:26:24,30.75
01-Jan-2012 16:26:24,32.11
01-Jan-2012 17:26:24,35.98
01-Jan-2012 18:26:24,40.4
01-Jan-2012 19:26:24,44.05
01-Jan-2012 20:26:24,46.16
01-Jan-2012 21:26:24,44.02
01-Jan-2012 22:26:24,45.6
01-Jan-2012 23:26:24,42.9
02-Jan-2012 00:26:24,37.55
02-Jan-2012 01:26:24,35.4
02-Jan-2012 02:26:24,31.98
02-Jan-2012 03:26:24,30.5
02-Jan-2012 04:26:24,28.79
02-Jan-2012 05:26:24,28.42
02-Jan-2012 06:26:24,28.75
02-Jan-2012 07:26:24,34.16
02-Jan-2012 08:26:24,42.07
02-Jan-2012 09:26:24,44.89
02-Jan-2012 10:26:24,45.26
02-Jan-2012 11:26:24,45.57
02-Jan-2012 12:26:24,45.09
02-Jan-2012 13:26:24,45.16
02-Jan-2012 14:26:24,44.9
02-Jan-2012 15:26:24,44.06
02-Jan-2012 16:26:24,43.94
02-Jan-2012 17:26:24,44.37
02-Jan-2012 18:26:24,46.05
02-Jan-2012 19:26:24,46.72
02-Jan-2012 20:26:24,46.11
02-Jan-2012 21:26:24,43.7
02-Jan-2012 22:26:24,42
02-Jan-2012 23:26:24,38.6
03-Jan-2012 00:26:24,33.39
03-Jan-2012 01:26:24,32.05
03-Jan-2012 02:26:24,30.75
03-Jan-2012 03:26:24,29.97
03-Jan-2012 04:26:24,29.8
03-Jan-2012 05:26:24,29.74
03-Jan-2012 06:26:24,29.87
03-Jan-2012 07:26:24,31.21
