DateTime,tramo_power,tramo_energy,power,price,energy_cost,power_cost_by_kW
01-Jan-2013 00:00:00,6,6,NaN,52.084,NaN,0.000241666666666667
01-Jan-2013 01:00:00,6,6,19,51.4816,0.9781504,0.000241666666666667
01-Jan-2013 02:00:00,6,6,23,49.3692,1.1354916,0.000241666666666667
01-Jan-2013 03:00:00,6,6,22,46.2244,1.0169368,0.000241666666666667
01-Jan-2013 04:00:00,6,6,22,41.2192,0.9068224,0.000241666666666667
01-Jan-2013 05:00:00,6,6,21,37.548,0.788508,0.000241666666666667
01-Jan-2013 06:00:00,6,6,22,36.66,0.80652,0.000241666666666667
01-Jan-2013 07:00:00,6,6,25,36.578,0.91445,0.000241666666666667
01-Jan-2013 08:00:00,6,6,25,36.572,0.9143,0.000241666666666667
01-Jan-2013 09:00:00,6,6,32,36.55,1.1696,0.000241666666666667
01-Jan-2013 10:00:00,6,6,80,36.55,2.924,0.000241666666666667
01-Jan-2013 11:00:00,6,6,57,37.11,2.11527,0.000241666666666667
01-Jan-2013 12:00:00,6,6,60,37.55,2.253,0.000241666666666667
01-Jan-2013 13:00:00,6,6,72,37.55,2.7036,0.000241666666666667
01-Jan-2013 14:00:00,6,6,68,37.55,2.5534,0.000241666666666667
01-Jan-2013 15:00:00,6,6,74,37.018,2.739332,0.000241666666666667
01-Jan-2013 16:00:00,6,6,73,35.984,2.626832,0.000241666666666667
01-Jan-2013 17:00:00,6,6,77,35.78,2.75506,0.000241666666666667
01-Jan-2013 18:00:00,6,6,80,37.4,2.992,0.000241666666666667
01-Jan-2013 19:00:00,6,6,77,46.0656,3.5470512,0.000241666666666667
01-Jan-2013 20:00:00,6,6,71,53.774,3.817954,0.000241666666666667
01-Jan-2013 21:00:00,6,6,66,56.4144,3.7233504,0.000241666666666667
01-Jan-2013 22:00:00,6,6,65,55.4176,3.602144,0.000241666666666667
01-Jan-2013 23:00:00,6,6,63,53.6304,3.3787152,0.000241666666666667
02-Jan-2013 00:00:00,6,6,49,51.3612,2.5166988,0.000241666666666667
02-Jan-2013 01:00:00,6,6,48,48.0232,2.3051136,0.000241666666666667
02-Jan-2013 02:00:00,6,6,69,44.3044,3.0570036,0.000241666666666667
02-Jan-2013 03:00:00,6,6,62,41.1252,2.5497624,0.000241666666666667
02-Jan-2013 04:00:00,6,6,67,39.5456,2.6495552,0.000241666666666667
02-Jan-2013 05:00:00,6,6,68,38.2364,2.6000752,0.000241666666666667
02-Jan-2013 06:00:00,6,6,66,37.634,2.483844,0.000241666666666667
02-Jan-2013 07:00:00,6,6,67,38.764,2.597188,0.000241666666666667
02-Jan-2013 08:00:00,2,2,89,41.6944,3.7108016,0.00295416666666667
