cost,energy,DateTime
268.20917,55543,01-Jan-2013 23:00:00
242.652966666666,47916,01-Feb-2013 23:00:00
264.327528333333,40828,01-Mar-2013 23:00:00
261.24153,38521,01-Apr-2013 23:00:00
267.80049,44056,01-May-2013 23:00:00
254.486216666666,36910,01-Jun-2013 23:00:00
270.644341666667,38100,01-Jul-2013 23:00:00
266.707508181818,27099.5454545455,01-Aug-2013 23:00:00
258.032798333333,40457,01-Sep-2013 23:00:00
271.129881666667,43809,01-Oct-2013 23:00:00
258.305408333333,43981,01-Nov-2013 23:00:00
254.800243333333,35685,01-Dec-2013 22:00:00
