DateTime,tramo_power,tramo_energy,power,price,energy_cost,power_cost_by_kW,power_cost,cost
01-Jan-2013 00:00:00,2,3,NaN,0.01,NaN,0.00295416666666667,0.259966666666667,NaN
01-Jan-2013 01:00:00,2,3,19,0.01,0.00019,0.00295416666666667,0.259966666666667,0.260156666666667
01-Jan-2013 02:00:00,2,3,23,0.01,0.00023,0.00295416666666667,0.259966666666667,0.260196666666667
01-Jan-2013 03:00:00,2,3,22,0.01,0.00022,0.00295416666666667,0.259966666666667,0.260186666666667
01-Jan-2013 04:00:00,2,3,22,0.01,0.00022,0.00295416666666667,0.259966666666667,0.260186666666667
01-Jan-2013 05:00:00,2,3,21,0.01,0.00021,0.00295416666666667,0.259966666666667,0.260176666666667
01-Jan-2013 06:00:00,2,3,22,0.01,0.00022,0.00295416666666667,0.259966666666667,0.260186666666667
01-Jan-2013 07:00:00,2,3,25,0.01,0.00025,0.00295416666666667,0.259966666666667,0.260216666666667
01-Jan-2013 08:00:00,2,3,25,0.01,0.00025,0.00295416666666667,0.259966666666667,0.260216666666667
01-Jan-2013 09:00:00,2,3,32,0.01,0.00032,0.00295416666666667,0.259966666666667,0.260286666666667
01-Jan-2013 10:00:00,2,3,80,0.01,0.0008,0.00295416666666667,0.259966666666667,0.260766666666667
01-Jan-2013 11:00:00,2,3,57,0.01,0.00057,0.00295416666666667,0.259966666666667,0.260536666666667
01-Jan-2013 12:00:00,2,3,60,0.01,0.0006,0.00295416666666667,0.259966666666667,0.260566666666667
01-Jan-2013 13:00:00,2,3,72,0.01,0.00072,0.00295416666666667,0.259966666666667,0.260686666666667
01-Jan-2013 14:00:00,2,3,68,0.01,0.00068,0.00295416666666667,0.259966666666667,0.260646666666667
01-Jan-2013 15:00:00,2,3,74,0.01,0.00074,0.00295416666666667,0.259966666666667,0.260706666666667
01-Jan-2013 16:00:00,2,3,73,0.01,0.00073,0.00295416666666667,0.259966666666667,0.260696666666667
01-Jan-2013 17:00:00,2,3,77,0.01,0.00077,0.00295416666666667,0.259966666666667,0.260736666666667
01-Jan-2013 18:00:00,2,3,80,0.01,0.0008,0.00295416666666667,0.259966666666667,0.260766666666667
01-Jan-2013 19:00:00,2,3,77,0.01,0.00077,0.00295416666666667,0.259966666666667,0.260736666666667
01-Jan-2013 20:00:00,2,3,71,0.01,0.00071,0.00295416666666667,0.259966666666667,0.260676666666667
01-Jan-2013 21:00:00,2,3,66,0.01,0.00066,0.00295416666666667,0.259966666666667,0.260626666666667
01-Jan-2013 22:00:00,2,3,65,0.01,0.00065,0.00295416666666667,0.259966666666667,0.260616666666667
01-Jan-2013 23:00:00,2,3,63,0.01,0.00063,0.00295416666666667,0.259966666666667,0.260596666666667
02-Jan-2013 00:00:00,2,3,49,0.01,0.00049,0.00295416666666667,0.259966666666667,0.260456666666667
02-Jan-2013 01:00:00,2,3,48,0.01,0.00048,0.00295416666666667,0.259966666666667,0.260446666666667
02-Jan-2013 02:00:00,2,3,69,0.01,0.00069,0.00295416666666667,0.259966666666667,0.260656666666667
02-Jan-2013 03:00:00,2,3,62,0.01,0.00062,0.00295416666666667,0.259966666666667,0.260586666666667
02-Jan-2013 04:00:00,2,3,67,0.01,0.00067,0.00295416666666667,0.259966666666667,0.260636666666667
02-Jan-2013 05:00:00,2,3,68,0.01,0.00068,0.00295416666666667,0.259966666666667,0.260646666666667
02-Jan-2013 06:00:00,2,3,66,0.01,0.00066,0.00295416666666667,0.259966666666667,0.260626666666667
02-Jan-2013 07:00:00,1,3,67,0.01,0.00067,0.0034875,0.453375,0.454045
02-Jan-2013 08:00:00,1,2,89,0.05,0.00445,0.0034875,0.453375,0.457825
02-Jan-2013 09:00:00,1,2,89,0.05,0.00445,0.0034875,0.453375,0.457825
02-Jan-2013 10:00:00,1,1,101,0.1,0.0101,0.0034875,0.453375,0.463475
02-Jan-2013 11:00:00,1,1,103,0.1,0.0103,0.0034875,0.453375,0.463675
02-Jan-2013 12:00:00,1,1,105,0.1,0.0105,0.0034875,0.453375,0.463875
02-Jan-2013 13:00:00,1,1,98,0.1,0.0098,0.0034875,0.453375,0.463175
02-Jan-2013 14:00:00,1,2,106,0.05,0.0053,0.0034875,0.453375,0.458675
02-Jan-2013 15:00:00,1,2,92,0.05,0.0046,0.0034875,0.453375,0.457975
02-Jan-2013 16:00:00,1,2,86,0.05,0.0043,0.0034875,0.453375,0.457675
02-Jan-2013 17:00:00,1,2,82,0.05,0.0041,0.0034875,0.453375,0.457475
02-Jan-2013 18:00:00,1,1,84,0.1,0.0084,0.0034875,0.453375,0.461775
02-Jan-2013 19:00:00,1,1,90,0.1,0.009,0.0034875,0.453375,0.462375
